Specie,Diametro,Altezza
Abete,40,27
Abete,39,27
Abete,37,27
Abete,38,26
Abete,41,26
Abete,37,23
Abete,32,28
Abete,31,23
Abete,22,18
Abete,37,28
Abete,35,26
Abete,35,26
Abete,30,20
Abete,32,15
Abete,24,16
Douglasia,52,27
Douglasia,33,31
Douglasia,28,21
Douglasia,32,28
Douglasia,29,25
Faggio,27,24
Faggio,27,25
Faggio,32,26
Faggio,28,27
Faggio,29,23
Faggio,27,21
Faggio,33,23
Faggio,34,24
Faggio,30,18
Faggio,31,23
Faggio,27,20
Faggio,25,15
Faggio,28,20
Faggio,27,24
Faggio,25,21
Faggio,25,18
Faggio,30,21
Faggio,29,27
Faggio,36,25
Faggio,33,25
Faggio,31,21
Faggio,26,16
Faggio,27,18
Faggio,27,18
Faggio,27,18
Ontano,20,15
Ontano,23,15
Ontano,25,14
Pino,31,20
Pino,31,23
Pino,27,20
Pino,30,23
Pino Marittimo,28,21
Pino Marittimo,31,21
Pino Nero,43,28
Pino Nero,46,28
Pino Nero,34,21
Pino Nero,34,21
Pino Nero,34,31
Pino Nero,35,25
Pino Nero,38,24
Pino Nero,35,25
Pino Nero,32,19