Compresa,Particella,CP,Area saggio,UTMLon,UTMLat,GaussLon,GaussLat,Lon,Lat,Quota
Capistrano,1,Capistrano-1,1,616933,4284976,,,16.344814,38.705693,886
Capistrano,1,Capistrano-1,2,616740,4284793,,,16.342564,38.704069,900
Capistrano,1,Capistrano-1,9,617114,4285199,,,16.346932,38.707678,932
Capistrano,10a,Capistrano-10a,34,615455,4283988,,,16.327655,38.696985,770
Capistrano,10b,Capistrano-10b,36,615176,4284019,,,16.324453,38.697301,689
Capistrano,11a,Capistrano-11a,35,615371,4283962,,,16.326685,38.696762,752
Capistrano,11b,Capistrano-11b,32,615569,4284142,,,16.328991,38.698358,760
Capistrano,11b,Capistrano-11b,52,614966,4284169,,,16.322063,38.698680,643
Capistrano,12a,Capistrano-12a,40,615095,4283510,,,16.323437,38.692726,755
Capistrano,12a,Capistrano-12a,41,615102,4283757,,,16.323559,38.694950,687
Capistrano,12a,Capistrano-12a,51,614651,4283905,,,16.318398,38.696342,645
Capistrano,12b,Capistrano-12b,46,614991,4283395,,,16.322222,38.691703,749
Capistrano,13,Capistrano-13,42,614740,4283938,,,16.319427,38.696628,670
Capistrano,14a,Capistrano-14a,47,614157,4283721,,,16.312689,38.694748,619
Capistrano,14b,Capistrano-14b,38,614482,4283609,,,16.316406,38.693697,657
Capistrano,14b,Capistrano-14b,48,613903,4283736,,,16.309771,38.694916,588
Capistrano,14b,Capistrano-14b,49,614065,4283870,,,16.311656,38.696103,609
Capistrano,14b,Capistrano-14b,50,614205,4283975,,,16.313282,38.697031,583
Capistrano,15,Capistrano-15,43,614187,4283503,,,16.312998,38.692781,627
Capistrano,15,Capistrano-15,44,614230,4283526,,,16.313496,38.692982,627
Capistrano,15,Capistrano-15,45,614183,4283328,,,16.312923,38.691204,621
Capistrano,16a,Capistrano-16a,20,614890,4283357,,,16.321055,38.691374,731
Capistrano,16a,Capistrano-16a,37,614767,4283655,,,16.319690,38.694075,718
Capistrano,16a,Capistrano-16a,39,614776,4283766,,,16.319812,38.695074,713
Capistrano,16b,Capistrano-16b,19,614652,4283280,,,16.318306,38.690711,729
Capistrano,16b,Capistrano-16b,21,614900,4283331,,,16.321166,38.691139,746
Capistrano,16b,Capistrano-16b,22,614963,4283387,,,16.321899,38.691635,750
Capistrano,16c,Capistrano-16c,53,615062,4283245,,,16.323014,38.690343,762
Capistrano,17a,Capistrano-17a,18,614329,4283075,,,16.314559,38.688906,632
Capistrano,17b,Capistrano-17b,17,614140,4283209,,,16.312409,38.690138,618
Capistrano,2,Capistrano-2,10,617050,4285451,,,16.346239,38.709956,892
Capistrano,2,Capistrano-2,7,616821,4285132,,,16.343552,38.707113,893
Capistrano,2,Capistrano-2,8,616938,4285350,,,16.344934,38.709061,899
Capistrano,3,Capistrano-3,11,616549,4285031,,,16.340408,38.706239,855
Capistrano,3,Capistrano-3,12,616368,4284729,,,16.338276,38.703542,817
Capistrano,3,Capistrano-3,3,616516,4284468,,,16.339934,38.701171,884
Capistrano,4a,Capistrano-4a,13,616394,4284389,,,16.338518,38.700475,886
Capistrano,4b,Capistrano-4b,28,616149,4284640,,,16.335743,38.702769,802
Capistrano,5a,Capistrano-5a,4,616315,4284121,,,16.337564,38.698071,892
Capistrano,5a,Capistrano-5a,5,616289,4284005,,,16.337246,38.697029,875
Capistrano,5b,Capistrano-5b,23,616023,4284166,,,16.334215,38.698515,817
Capistrano,5b,Capistrano-5b,29,615962,4284298,,,16.333536,38.699712,815
Capistrano,6a,Capistrano-6a,14,616296,4283673,,,16.337271,38.694037,891
Capistrano,6a,Capistrano-6a,6,616108,4283811,,,16.335133,38.695305,830
Capistrano,6b,Capistrano-6b,15,615821,4283902,,,16.331848,38.696163,811
Capistrano,7a,Capistrano-7a,26,615968,4284444,,,16.333629,38.701027,806
Capistrano,7b,Capistrano-7b,27,616192,4284755,,,16.336257,38.703799,789
Capistrano,8a,Capistrano-8a,25,615889,4284262,,,16.332690,38.699397,804
Capistrano,8b,Capistrano-8b,16,615913,4283694,,,16.332871,38.694277,824
Capistrano,8b,Capistrano-8b,24,615982,4284123,,,16.333736,38.698133,819
Capistrano,8b,Capistrano-8b,30,615652,4283973,,,16.329917,38.696825,789
Capistrano,8b,Capistrano-8b,31,615541,4284007,,,16.328647,38.697145,772
Capistrano,9a,Capistrano-9a,27 bis,616119,4284759,,,16.335418,38.703845,789
Capistrano,9b,Capistrano-9b,33,615669,4284300,,,16.330167,38.699768,759
Fabrizia,1,Fabrizia-1,15,609797,4259901,,,16.258811,38.480687,1091
Fabrizia,1,Fabrizia-1,16,610113,4259884,,,16.262431,38.480495,1041
Fabrizia,1,Fabrizia-1,9,609644,4259828,,,16.257046,38.480048,1123
Fabrizia,10a,Fabrizia-10a,20b,611310,4258197,,,16.275883,38.465146,1013
Fabrizia,10a,Fabrizia-10a,30,611425,4257455,,,16.277083,38.458446,1008
Fabrizia,10b,Fabrizia-10b,29,611267,4257766,,,16.275322,38.461268,1033
Fabrizia,10b,Fabrizia-10b,31,611614,4257519,,,16.279259,38.458999,1014
Fabrizia,11a,Fabrizia-11a,27,611488,4257194,,,16.277764,38.456087,1027
Fabrizia,11b,Fabrizia-11b,28,611045,4257249,,,16.272696,38.456638,1053
Fabrizia,11c,Fabrizia-11c,24,610885,4257138,,,16.270845,38.455658,1058
Fabrizia,11c,Fabrizia-11c,25,611282,4256969,,,16.275368,38.454085,1046
Fabrizia,11c,Fabrizia-11c,26,611054,4257110,,,16.272777,38.455384,1054
Fabrizia,12a,Fabrizia-12a,42,612511,4258810,,,16.289745,38.470519,968
Fabrizia,12b,Fabrizia-12b,41,612385,4259043,,,16.288338,38.472634,1000
Fabrizia,13a,Fabrizia-13a,40,612211,4258768,,,16.286300,38.470178,1032
Fabrizia,13b,Fabrizia-13b,39,612290,4258502,,,16.287163,38.467771,940
Fabrizia,13c,Fabrizia-13c,39b,612304,4258497,,,16.287322,38.467725,940
Fabrizia,14a,Fabrizia-14a,38,612166,4257946,,,16.285653,38.462777,998
Fabrizia,14b,Fabrizia-14b,37,611954,4257952,,,16.283224,38.462858,1015
Fabrizia,2,Fabrizia-2,10,610479,4259886,,,16.266626,38.480467,1094
Fabrizia,2,Fabrizia-2,11,610585,4259714,,,16.267814,38.478905,1095
Fabrizia,2,Fabrizia-2,12,610737,4259476,,,16.269519,38.476741,1082
Fabrizia,2,Fabrizia-2,13,610793,4259351,,,16.270141,38.475608,1059
Fabrizia,2,Fabrizia-2,14,610383,4258783,,,16.265352,38.470541,1105
Fabrizia,3,Fabrizia-3,17,610395,4259236,,,16.265561,38.474621,1027
Fabrizia,3,Fabrizia-3,7,609909,4259162,,,16.259979,38.474015,1110
Fabrizia,3,Fabrizia-3,8,609823,4259508,,,16.259048,38.477143,1107
Fabrizia,4,Fabrizia-4,18,610657,4258957,,,16.268520,38.472075,1012
Fabrizia,4,Fabrizia-4,5,610317,4258559,,,16.264561,38.468531,1073
Fabrizia,4,Fabrizia-4,6,610079,4258853,,,16.261879,38.471210,1102
Fabrizia,5a,Fabrizia-5a,19,610925,4258480,,,16.271516,38.467744,1001
Fabrizia,5b,Fabrizia-5b,19b,611078,4258316,,,16.273243,38.466247,1009
Fabrizia,5b,Fabrizia-5b,20,611164,4258299,,,16.274226,38.466083,1009
Fabrizia,6,Fabrizia-6,2,610669,4257652,,,16.268451,38.460316,1052
Fabrizia,6,Fabrizia-6,3,610552,4257922,,,16.267153,38.462763,1061
Fabrizia,6,Fabrizia-6,4,610457,4258180,,,16.266105,38.465099,1064
Fabrizia,7a,Fabrizia-7a,21,611047,4257865,,,16.272817,38.462188,1030
Fabrizia,7b,Fabrizia-7b,19c,611086,4258235,,,16.273322,38.465517,1009
Fabrizia,8,Fabrizia-8,1,610692,4257322,,,16.268663,38.457339,1055
Fabrizia,8,Fabrizia-8,22,610809,4257406,,,16.270017,38.458082,1023
Fabrizia,8,Fabrizia-8,23,610757,4257255,,,16.269397,38.456728,1043
Fabrizia,9a,Fabrizia-9a,32,611889,4257493,,,16.282406,38.458731,987
Fabrizia,9a,Fabrizia-9a,34,611581,4258242,,,16.278996,38.465518,1016
Fabrizia,9a,Fabrizia-9a,36,611939,4257625,,,16.283000,38.459914,1008
Fabrizia,9b,Fabrizia-9b,33,611509,4258326,,,16.278184,38.466284,1013
Fabrizia,9b,Fabrizia-9b,35,611842,4257870,,,16.281928,38.462133,1010
Serra,1,Serra-1,55,613673,4270190,,,16.304912,38.572902,888
Serra,10a,Serra-10a,61,613977,4268812,,,16.308176,38.560448,817
Serra,10a,Serra-10a,62,613795,4269126,,,16.306139,38.563300,826
Serra,10b,Serra-10b,60,614216,4268800,,,16.310917,38.560309,825
Serra,11,Serra-11,33,614015,4268315,,,16.308531,38.555965,831
Serra,11,Serra-11,34,614159,4268400,,,16.310197,38.556713,870
Serra,11,Serra-11,70,613692,4268362,,,16.304832,38.556430,852
Serra,12,Serra-12,42,612347,4267974,,,16.289337,38.553105,1055
Serra,12,Serra-12,44,612611,4268468,,,16.292446,38.557523,906
Serra,12,Serra-12,64,612839,4268486,,,16.295065,38.557656,872
Serra,12,Serra-12,66,613333,4268396,,,16.300719,38.556782,842
Serra,12,Serra-12,67,613477,4268372,,,16.302367,38.556548,852
Serra,12,Serra-12,68,612784,4268118,,,16.294374,38.554347,950
Serra,12,Serra-12,69,612446,4268184,,,16.290507,38.554985,1056
Serra,12,Serra-12,9,612362,4267866,,,16.289492,38.552130,1052
Serra,13,Serra-13,56,612184,4267906,,,16.287456,38.552513,1055
Serra,13,Serra-13,57,612274,4268066,,,16.288514,38.553943,1038
Serra,14,Serra-14,40,612318,4267563,,,16.288938,38.549406,1057
Serra,14,Serra-14,41,612081,4267693,,,16.286240,38.550607,1042
Serra,14,Serra-14,7,612587,4267210,,,16.291968,38.546191,1063
Serra,14,Serra-14,8,611708,4267816,,,16.281980,38.551762,1068
Serra,15,Serra-15,68 bis,612838,4268029,,,16.294980,38.553539,950
Serra,15,Serra-15,9 bis,612516,4267807,,,16.291249,38.551579,1048
Serra,16,Serra-16,31,613665,4267896,,,16.304447,38.552235,850
Serra,16,Serra-16,32,613949,4268110,,,16.307740,38.554127,859
Serra,16,Serra-16,38,613125,4268084,,,16.298281,38.553998,899
Serra,16,Serra-16,39,613817,4268209,,,16.306242,38.555036,828
Serra,17,Serra-17,26,614163,4267959,,,16.310171,38.552739,891
Serra,17,Serra-17,35,613886,4267705,,,16.306951,38.550486,921
Serra,18,Serra-18,28,613192,4267457,,,16.298949,38.548340,968
Serra,18,Serra-18,29,613477,4267381,,,16.302206,38.547619,932
Serra,18,Serra-18,30,613536,4267692,,,16.302933,38.550413,873
Serra,18,Serra-18,37,612905,4267623,,,16.295683,38.549872,1053
Serra,19,Serra-19,22,612913,4267011,,,16.295676,38.544357,1012
Serra,19,Serra-19,36,612625,4267425,,,16.292438,38.548124,1075
Serra,20,Serra-20,27,613084,4267101,,,16.297652,38.545146,991
Serra,20,Serra-20,29 bis,613358,4267320,,,16.300831,38.547085,933
Serra,21,Serra-21,24,613872,4267445,,,16.306748,38.548145,877
Serra,22,Serra-22,23,613108,4266921,,,16.297898,38.543522,922
Serra,22,Serra-22,6,613169,4266545,,,16.298537,38.540126,1037
Serra,23,Serra-23,18,613899,4267191,,,16.307016,38.545853,943
Serra,23,Serra-23,19,613826,4266742,,,16.306106,38.541817,875
Serra,23,Serra-23,20,613534,4266551,,,16.302725,38.540134,1020
Serra,23,Serra-23,21,613649,4266927,,,16.304105,38.543507,974
Serra,23,Serra-23,5,613572,4266309,,,16.303122,38.537948,1022
Serra,24,Serra-24,16,614224,4266625,,,16.310652,38.540712,972
Serra,24,Serra-24,17,614208,4267110,,,16.310548,38.545084,937
Serra,24,Serra-24,25,614135,4267426,,,16.309762,38.547940,888
Serra,24,Serra-24,3,614215,4266244,,,16.310487,38.537280,1025
Serra,24,Serra-24,4,613808,4266221,,,16.305814,38.537125,1026
Serra,25,Serra-25,14,614608,4267149,,,16.315144,38.545384,958
Serra,26,Serra-26,15,614303,4267748,,,16.311743,38.550820,923
Serra,27,Serra-27,2,614810,4267386,,,16.317500,38.547493,945
Serra,28,Serra-28,1,614953,4268086,,,16.319256,38.553781,869
Serra,28,Serra-28,13,614758,4268315,,,16.317056,38.555870,877
Serra,29,Serra-29,2 bis,614851,4267271,,,16.317951,38.546452,951
Serra,2a,Serra-2a,54,613254,4269908,,,16.300058,38.570415,941
Serra,2b,Serra-2b,54 bis,613156,4269928,,,16.298936,38.570608,940
Serra,3,Serra-3,11,612721,4269906,,,16.293940,38.570465,1039
Serra,3,Serra-3,53,613089,4269788,,,16.298145,38.569355,927
Serra,4,Serra-4,59,612536,4269399,,,16.291735,38.565920,1048
Serra,5,Serra-5,12,613090,4269612,,,16.298128,38.567769,944
Serra,5,Serra-5,47,613119,4269200,,,16.298394,38.564053,901
Serra,5,Serra-5,52,613014,4269343,,,16.297212,38.565355,945
Serra,6,Serra-6,50,612487,4269157,,,16.291134,38.563746,981
Serra,6,Serra-6,51,612704,4269102,,,16.293615,38.563223,957
Serra,7,Serra-7,10,612107,4268806,,,16.286717,38.560632,1050
Serra,7,Serra-7,49,612282,4269205,,,16.288789,38.564205,1019
Serra,7,Serra-7,58,612188,4268550,,,16.287605,38.558315,1050
Serra,8,Serra-8,43,612441,4268413,,,16.290486,38.557049,1038
Serra,8,Serra-8,45,612827,4269589,,,16.295106,38.567595,1004
Serra,8,Serra-8,46,612973,4268861,,,16.296663,38.561018,965
Serra,9,Serra-9,48,613434,4269221,,,16.302012,38.564202,874
Serra,9,Serra-9,63,613279,4268842,,,16.300171,38.560807,871
Serra,9,Serra-9,65,613139,4268603,,,16.298526,38.558672,875
Serra,9,Serra-9,71,613610,4269084,,,16.304009,38.562946,852
Serra,9,Serra-9,72,613152,4269045,,,16.298747,38.562653,897
