Compresa,Particella,Governo,Area (ha),EtÃ  media,No. fustaia,No. ceduo,m3/ha nuovo,Incr/ha nuovo
Capistrano,1,Fustaia,19.0,70.0,5067,0,558.7755599999999,7.982507999999999
Capistrano,10a,Ceduo,3.8,62.0,365,2797,156.2376079999996,2.519961419354832
Capistrano,10b,Ceduo,13.5,4.0,0,15120,16.57354799999999,4.143386999999998
Capistrano,11a,Ceduo,5.3,3.0,339,4749,116.86891600000035,38.956305333333454
Capistrano,11b,Ceduo,11.64,3.0,0,9591,12.884048000000002,4.2946826666666675
Capistrano,12a,Fustaia,16.75,69.0,7147,0,277.3861346666667,4.020088908212561
Capistrano,12b,Fustaia,4.3,30.0,3096,0,225.66740399999998,7.5222468
Capistrano,13,Fustaia,13.0,30.0,3120,0,230.30204400000008,7.676734800000003
Capistrano,14a,Fustaia,6.0,18.0,912,0,3.557620000000001,0.1976455555555556
Capistrano,14b,Ceduo,19.3,5.0,1930,8492,91.86164199999999,18.372328399999997
Capistrano,15,Fustaia,21.16,18.0,3781,0,212.863112,11.825728444444444
Capistrano,16a,Fustaia,11.4,35.0,1854,0,153.58116800000002,4.388033371428572
Capistrano,16b,Fustaia,7.0,18.0,3696,0,224.01136800000006,12.445076000000004
Capistrano,16c,Fustaia,0.5,72.0,92,0,379.91362399999997,5.27657811111111
Capistrano,17a,Ceduo,14.65,3.0,0,10665,10.492624,3.497541333333333
Capistrano,17b,Fustaia,3.65,25.0,2949,0,310.170456,12.40681824
Capistrano,2,Fustaia,17.9,70.0,3389,0,358.6662906666667,5.123804152380953
Capistrano,3,Fustaia,20.6,61.0,4340,0,334.74472399999996,5.487618426229508
Capistrano,4a,Fustaia,6.7,67.0,1179,0,331.681968,4.950477134328358
Capistrano,4b,Ceduo,9.69,3.0,0,6822,12.375367999999993,4.125122666666664
Capistrano,5a,Fustaia,11.33,67.0,2538,0,492.4619000000001,7.350177611940301
Capistrano,5b,Ceduo,5.12,3.0,0,3666,11.943931999999997,3.9813106666666656
Capistrano,6a,Fustaia,13.86,62.0,3825,0,445.968548,7.193041096774193
Capistrano,6b,Ceduo,6.0,3.0,0,4176,13.368863999999991,4.456287999999997
Capistrano,7a,Fustaia,1.2,66.0,211,0,299.27434199999993,4.5344597272727265
Capistrano,7b,Ceduo,6.05,3.0,0,4550,16.96228000000001,5.6540933333333365
Capistrano,8a,Fustaia,3.0,63.0,528,0,281.00331,4.46037
Capistrano,8b,Ceduo,13.2,3.0,0,11088,15.491111499999999,5.163703833333333
Capistrano,9a,Fustaia,3.0,49.0,576,0,170.81317399999998,3.485983142857142
Capistrano,9b,Ceduo,9.5,3.0,0,7220,12.451983999999998,4.150661333333333
Fabrizia,1,Fustaia,22.49,72.0,6537,0,350.4954873333333,4.867992879629629
Fabrizia,10a,Fustaia,7.44,27.0,1875,0,671.2112670000001,24.85967655555556
Fabrizia,10b,Ceduo,28.04,3.0,0,25685,12.436283999999988,4.145427999999996
Fabrizia,11a,Fustaia,26.19,65.0,9219,0,548.6722960000001,8.441112246153848
Fabrizia,11b,Ceduo,3.5,3.0,0,2716,10.419147999999991,3.4730493333333303
Fabrizia,11c,Fustaia,10.78,35.0,5002,0,381.9053259999999,10.91158074285714
Fabrizia,12a,Fustaia,19.04,66.0,4417,0,493.4943320000002,7.477186848484852
Fabrizia,12b,Ceduo,2.5,3.0,20,1780,12.38698599999999,4.12899533333333
Fabrizia,13a,Fustaia,12.1,68.0,4066,0,427.37598000000014,6.284940882352943
Fabrizia,13b,Ceduo,12.23,5.0,0,10469,76.893576,15.378715199999998
Fabrizia,13c,Ceduo,4.8,8.0,0,4109,45.116775999999994,5.639596999999999
Fabrizia,14a,Fustaia,27.42,67.0,8774,0,542.174694,8.0921596119403
Fabrizia,14b,Ceduo,14.58,8.0,0,14230,15.600775999999989,1.9500969999999986
Fabrizia,2,Fustaia,30.39,62.0,12934,0,466.69757200000004,7.527380193548388
Fabrizia,3,Fustaia,32.47,67.0,12728,0,837.0998220000002,12.494027194029854
Fabrizia,4,Fustaia,27.1,62.0,11490,0,568.4375493333333,9.168347569892473
Fabrizia,5a,Fustaia,25.19,69.0,7255,0,569.8716919999998,8.259010028985506
Fabrizia,5b,Ceduo,2.73,3.0,0,2326,10.98874399999999,3.6629146666666634
Fabrizia,6,Fustaia,11.52,61.0,5100,0,638.2943853333333,10.46384238251366
Fabrizia,7a,Fustaia,12.57,68.0,6034,0,493.60956999999996,7.258964264705882
Fabrizia,7b,Ceduo,1.3,3.0,0,1154,10.35634799999999,3.4521159999999966
Fabrizia,8,Fustaia,14.17,71.0,6575,0,709.9073186666666,9.99869462910798
Fabrizia,9a,Fustaia,14.41,80.0,3074,0,441.90256200000005,5.523782025000001
Fabrizia,9b,Ceduo,5.93,3.0,71,5147,11.452207999999988,3.8174026666666627
Serra,1,Fustaia,7.47,61.0,3526,0,548.2465120000002,8.98764773770492
Serra,10a,Ceduo,11.6,82.0,557,23989,141.27880500000006,1.7229122560975618
Serra,10b,Fustaia,32.22,93.0,10826,0,1145.011676,12.311953505376344
Serra,11,Fustaia,36.37,84.0,10281,0,809.7533526666667,9.639920865079366
Serra,12,Fustaia,44.6,87.0,13692,0,862.3674020000001,9.912268988505748
Serra,13,Fustaia,21.38,87.0,8381,0,1055.4133459999998,12.13118788505747
Serra,14,Fustaia,30.35,73.0,12808,0,824.222525,11.290719520547945
Serra,15,Fustaia,23.0,82.0,7544,0,1035.9601040000002,12.633659804878052
Serra,16,Fustaia,35.3,88.0,13555,0,968.5672260000001,11.006445750000001
Serra,17,Fustaia,34.0,97.0,9792,0,1156.4293440000004,11.921952000000005
Serra,18,Fustaia,24.1,88.0,7857,0,889.512859,10.108100670454546
Serra,19,Fustaia,37.0,77.0,11544,0,884.927674,11.492567194805195
Serra,20,Fustaia,13.6,90.0,3754,0,712.081036,7.912011511111111
Serra,21,Fustaia,21.0,98.0,3360,0,648.9061200000001,6.621491020408165
Serra,22,Fustaia,26.7,83.0,7796,0,980.4414499999998,11.812547590361444
Serra,23,Fustaia,36.5,83.0,11563,0,945.2392240000001,11.388424385542171
Serra,24,Fustaia,50.8,81.0,18938,0,1125.8050496000003,13.89882777283951
Serra,25,Fustaia,44.65,88.0,17503,0,956.2882560000003,10.866912000000003
Serra,26,Fustaia,19.35,88.0,9907,0,1167.4469760000004,13.266442909090914
Serra,27,Fustaia,33.6,89.0,13978,0,1105.1594240000002,12.41752161797753
Serra,28,Fustaia,17.45,80.0,5305,0,1159.2887850000004,14.491109812500005
Serra,29,Fustaia,10.02,75.0,3928,0,1039.93189,13.865758533333334
Serra,2a,Fustaia,2.95,58.0,1227,0,1105.1594240000002,19.05447282758621
Serra,2b,Ceduo,3.5,17.0,0,3836,12.166871999999989,0.7156983529411758
Serra,3,Fustaia,18.9,78.0,8996,0,496.8148820000001,6.3694215641025655
Serra,4,Fustaia,14.1,88.0,4286,0,1296.3728640000004,14.731509818181822
Serra,5,Fustaia,21.6,70.0,6509,0,581.2897786666666,8.304139695238094
Serra,6,Fustaia,10.1,73.0,3151,0,796.640922,10.912889342465753
Serra,7,Fustaia,22.84,63.0,10537,0,876.1328480000001,13.906870603174605
Serra,8,Fustaia,35.9,85.0,11584,0,869.4888173333334,10.229280203921569
Serra,9,Fustaia,31.94,85.0,11754,0,968.1396836000001,11.389878630588237
